hora,score_PM10,PM10,score_O3,O3,,
1,0.994,1.476,0.941,6.726,0.053,5.25
2,0.978,4.069,0.912,8.255,0.066,4.186
3,0.971,6.686,0.902,8.728,0.069,2.042
4,0.966,5.102,0.896,9.002,0.07,3.9
5,0.961,5.518,0.89,9.201,0.071,3.683
6,0.948,6.226,0.88,9.544,0.068,3.318
7,0.937,6.896,0.879,9.553,0.058,2.657
8,0.927,7.405,0.875,9.705,0.052,2.3
9,0.916,7.939,0.87,9.911,0.046,1.972
10,0.903,8.516,0.869,9.917,0.034,1.401
11,0.892,8.992,0.868,9.957,0.024,0.965
12,0.882,9.405,0.866,10.057,0.016,0.652
13,0.868,9.946,0.867,10.017,0.001,0.071
14,0.856,10.401,0.868,10.009,-0.012,-0.392
15,0.843,10.848,0.865,10.091,-0.022,-0.757
16,0.83,11.28,0.865,10.105,-0.035,-1.175
17,0.834,11.14,0.86,10.359,-0.026,-0.781
18,0.836,11.086,0.86,10.416,-0.024,-0.67
19,0.838,11.016,0.856,10.516,0.838,-11.016
20,0.847,10.699,0.853,10.659,0.847,-10.699
21,0.841,10.994,0.85,10.681,0.841,-10.994
22,0.834,11.165,0.842,10.896,0.834,-11.165
23,0.825,11.481,0.835,11.114,0.825,-11.481
24,0.816,11.742,0.829,11.269,0.816,-11.742
,,,,,,