horas,UVA,UVB,PA,CO,NO,NO2,NOX,O3,PM25,PMCO,SO2,RH,TMP,WSP,WDR,PM10
0,0.6378737479603948,0.6306905236536149,-0.11303907155247875,-0.3079816492118396,-0.4343191733604895,-0.24852703760429926,-0.431471272161091,1.0,0.2361144656730256,0.1576343276831074,-0.10070934333302493,-0.7130991844915482,0.8282603125427213,0.4362140953542622,-0.24033590125896212,0.16346946090614162
1,0.7651835521859726,0.7551688418345003,-0.08062080263182554,-0.18626615041351913,-0.32412255394277917,-0.1470587681192386,-0.30943229120971144,0.940699184376119,0.3390162454645389,0.1863286880204285,-0.05504823413951838,-0.6717628840037184,0.773348393119479,0.31036712271938555,-0.3022051253918565,0.21698929303609416
2,0.8025117455101655,0.7856007644973264,-0.047059161793089395,-0.026806460480373127,-0.16073259371895038,-0.025264764902146814,-0.137862960766408,0.7977269137475871,0.4168238761341833,0.23057722535925235,-0.0053259844518161615,-0.5799147838342508,0.6556090075108288,0.17912345298916857,-0.3419255087272781,0.2826259910123002
3,0.751114829617674,0.723680157025254,-0.01740628558460946,0.14765635866579185,0.03798152844406683,0.09299076714125343,0.061027093682831435,0.6006575920664439,0.4634923299505547,0.275255861152492,0.0435740887921275,-0.44951978573905865,0.4901786056776765,0.04394174400751217,-0.3548217813726243,0.3449660909718602
4,0.6269529550345908,0.5880150666791122,0.00487826476032948,0.3046814218597563,0.2380074917122369,0.18746011474324972,0.2531891564985606,0.3808207139495267,0.47535008636178067,0.30463069843565965,0.08459061509340614,-0.2963647461968856,0.2968332618875022,-0.08803594642704254,-0.3413854416052682,0.3873835855936693
5,0.45594709822170754,0.40858179765598107,0.01757952746705209,0.4147940116535101,0.40408374145264536,0.24397675671601604,0.40556654875061954,0.1662483605131265,0.4527340647984988,0.306689248159012,0.1122921375222922,-0.13779069389851398,0.09704227214384203,-0.20912046214238303,-0.3067751163092281,0.3976047939154006
6,0.2668178503596535,0.21817919473666142,0.020741778251522822,0.4608967973117037,0.511330807270354,0.25600468491171724,0.4959594494294161,-0.021475773146471228,0.40035982128753134,0.2760284805029288,0.12491291895855704,0.010071509074023781,-0.08937149499992171,-0.31283880055809327,-0.2544212719246314,0.36981902019467344
7,0.08551526121553202,0.04472586141295654,0.016410523263024106,0.43858228958156953,0.546579120008972,0.22723296972578766,0.5149538335626475,-0.16908891054907016,0.3257439417772241,0.21373937987085873,0.12359997671050588,0.1344891910078321,-0.24648575480880852,-0.39480404039557965,-0.18749167231222935,0.30516563590501233
8,-0.06962503393643331,-0.09458646306577682,0.008445026775693433,0.35765025886600055,0.5093856422617579,0.17345638988490453,0.46736589904614,-0.27253939394704607,0.24033386692277833,0.12731897355888894,0.11258907728874179,0.22786772065831296,-0.3641193306177381,-0.4525943794524567,-0.11058703233076714,0.21235027951757202
9,-0.18963923907367372,-0.19491273283705973,0.0009334506511376114,0.23936966205286378,0.41221312495487733,0.11576359889492291,0.37014096729659857,-0.33623680476734064,0.15549690609241748,0.02924613879917647,0.09722559872295194,0.28781888683222207,-0.438552194414135,-0.4848758678211096,-0.031139036978405074,0.106270200151524
10,-0.27528792943184593,-0.26182413432545315,-0.003602591394236137,0.11109620929580451,0.2785283216868484,0.07232325936999205,0.24814501559997482,-0.3696120413505569,0.07882809839576697,-0.06406803890304713,0.08116654457733141,0.3163548451848416,-0.4716450309072384,-0.49093566020858237,0.044399695292314356,0.003959900326777715
11,-0.33409780365956326,-0.3056930734973874,-0.004093906673085617,0.002366057240319768,0.14071454383083642,0.05253578999229628,0.13056200214633706,-0.3831013287274587,0.013781293591830713,-0.13769887235059897,0.06493515626076561,0.3187977926057428,-0.46959844379038607,-0.4711562208467111,0.10836306214356443,-0.07822052483203375
12,-0.3766378018027919,-0.33729039265301486,-0.0010882026443179258,-0.06560178190273534,0.027190581186984426,0.05919850510270869,0.041215096069529104,-0.3848287281479176,-0.037950858051780716,-0.17986251830151162,0.047631572338491725,0.3011769397382578,-0.4407150686487475,-0.42427641189970283,0.15679441698972016,-0.128522168783531
13,-0.41094443098265343,-0.3643585537829422,0.0023030782647180488,-0.09345023177614808,-0.05435351006719225,0.08750914570918812,-0.01525649353174767,-0.37754168114750336,-0.07826802740525743,-0.1879205102326046,0.029652805863416752,0.2673304585635904,-0.39059231445422027,-0.3483891174154781,0.1875027536549213,-0.14526613631136312
14,-0.44068869308190334,-0.39158252385357006,0.0015574418475356195,-0.09463591697396932,-0.11064674034271796,0.12636778225534204,-0.04791750550092864,-0.3578422935956222,-0.10884414791976524,-0.16455658206475013,0.01028369897756245,0.21781399396358234,-0.3211451154168038,-0.24308119754872448,0.2009210121372446,-0.13179168284626006
15,-0.464123587130819,-0.41817048338759194,-0.00636206363619813,-0.08526611702272154,-0.15130329801982054,0.16033667011785985,-0.06956617290373447,-0.31814384306586757,-0.13163209123481687,-0.11621721830911086,-0.011681111364186316,0.15177556777828402,-0.23229033786883596,-0.11221568574578032,0.19800054672156514,-0.09534477596866688
16,-0.4743163708425515,-0.4375444783006934,-0.022488470660876284,-0.08006686010933411,-0.1850496362366743,0.17379756724446443,-0.0923567788290813,-0.248511489219871,-0.1465045256694882,-0.05235571233598431,-0.03567203030334969,0.06847841737410346,-0.1236088880858004,0.035420403737996126,0.18043107535560346,-0.04500317334741641
17,-0.4599286978392973,-0.4371894797784815,-0.04593937936816834,-0.08933852223664762,-0.2188976616686723,0.15668279467170443,-0.1252295089198629,-0.14112414225821712,-0.1523446227088271,0.01613941294754307,-0.06012919579114505,-0.032578188445391495,0.0047956433244638165,0.18681333617666454,0.15147776494099827,0.008704205485400202
18,-0.4082368640607541,-0.4012418121226902,-0.07370961066678655,-0.11872373900021535,-0.25768971101319726,0.1047671380394763,-0.17347485100616367,0.00629719081049344,-0.14722961586507158,0.07764915066229379,-0.08391066894867837,-0.14875307535530632,0.14956394432183998,0.327332639352535,0.11282938977067394,0.055693379796364975
19,-0.3090679258944851,-0.3152026987204272,-0.101541049592141,-0.16564645609485146,-0.301904088458114,0.023881979824822923,-0.23556983963512415,0.18726755575490434,-0.1283119340967881,0.12393935661729262,-0.10510998765666929,-0.2741515406068635,0.3038029047826107,0.44314639814541995,0.06574698077159229,0.08969914817684087
20,-0.1598171158258781,-0.17283624131003347,-0.1239900814030602,-0.2214386619787333,-0.3484586310597985,-0.06979944875197464,-0.3037449122424034,0.386381681644181,-0.09202889661139615,0.15268772434063962,-0.12086496523583821,-0.4002910867676303,0.45725143595965495,0.5230047893690825,0.010783701826676196,0.11031792854672023
21,0.031431822789709574,0.018579424247419343,-0.1367268689008084,-0.2734095318297842,-0.39049795252370123,-0.15632140109557952,-0.3659415945976253,0.5803463300417259,-0.03708115761018099,0.16477314759528147,-0.12892414164117916,-0.5155769607131107,0.5955525386929127,0.5594228533990188,-0.04865657023863505,0.11985756130880384
22,0.24556667476788796,0.23735221345390714,-0.1368191719045273,-0.3054591629365379,-0.41675899007629486,-0.21521736908564082,-0.4063864663355679,0.7424798296034271,0.03626720476863578,0.1653576933338664,-0.1267329800056162,-0.6061464407005065,0.7026850331904823,0.550177018711604,-0.11029888867412561,0.12558734627507295
23,0.45486461495121894,0.4513798954019605,-0.12420966914202558,-0.2994660141678557,-0.4115290198978549,-0.22943438549513293,-0.4068301041287152,0.8461385369086522,0.1236971822670624,0.16415979073090542,-0.11174396106523647,-0.6587903833136303,0.7632583975572393,0.49635020423667786,-0.17420824523454262,0.1375325642113691
24,0.6277524650828068,0.6254481978873552,-0.10124395192025296,-0.24004361245810496,-0.35744809299163566,-0.18924228210884567,-0.3500904836776801,0.8703567556276405,0.21760846169623022,0.17423730689076422,-0.08314013478530143,-0.6644263013174754,0.765928229325387,0.4038769142109715,-0.2380354887161111,0.16670832903944824
25,0.7360103367740922,0.7299167923331555,-0.07106833312338721,-0.13323009615343517,-0.25152234741014684,-0.10938112461652813,-0.2385728471676976,0.8124596289705139,0.30231570350142495,0.19653386660174824,-0.043385997408724314,-0.6181342249462453,0.7054995016390939,0.29032738029476785,-0.2893175261770906,0.21037506189687974
26,0.7629332186449647,0.7484236797651436,-0.03975547089520848,0.013906786397015213,-0.09459964101172147,-0.0039757433684551495,-0.0775827315473475,0.6809248680351678,0.36951741768250645,0.23025717716074567,0.0020040306520930744,-0.5262676230838769,0.5884294896963433,0.16076625207717746,-0.32188400004570733,0.2650602958938338
27,0.707436621789312,0.6812346673442278,-0.012181183982606517,0.17243670289789492,0.09029239512367904,0.09952888431395923,0.10533080272060731,0.5007283378602118,0.40856763123613193,0.2622103817666734,0.04605279002033292,-0.3989309490613591,0.42744949725388975,0.027335317288357884,-0.33058356246495185,0.3150184236304686
28,0.58378233079501,0.5458688476184307,0.008287350803388075,0.31203522645348225,0.27177512797348885,0.18144790138732877,0.27844263865637553,0.29909097122493405,0.41518124520567906,0.2790093434673356,0.08262530114293681,-0.2509075645772838,0.2410597707740266,-0.10205746142542703,-0.31539470933373853,0.3454709372946919
29,0.4163033509356769,0.3706616881281471,0.019684333280240596,0.40588618369418067,0.4180988794888324,0.22833183233390544,0.41174569920238313,0.10206121215862624,0.39020484255642907,0.27051265077348463,0.10750642321174149,-0.09895860936024117,0.05001717808896369,-0.2200509902003632,-0.2791767923942789,0.34612855869767944
30,0.2326983623948356,0.18680871390336343,0.022110854378203995,0.43891971869987234,0.5067537895934712,0.23507118755929896,0.4854224814575634,-0.06979896742076266,0.3384919311666342,0.23297581822003352,0.11880580585041318,0.0414936482053656,-0.12647398423796535,-0.3204133322462859,-0.2256571406830466,0.31234908983607734
31,0.05784491588291568,0.020667988728828943,0.017922491481360284,0.40792382835925445,0.526580056017927,0.20556582069489465,0.4917473307116267,-0.20345118583387964,0.26721150130863497,0.16698078794149115,0.11739742428575907,0.15829421657210765,-0.2732551294234503,-0.39837380034415776,-0.15917420288385525,0.24488857686615545
32,-0.09051219895755937,-0.11170691300977581,0.010973863494918178,0.3237792143945417,0.47944668836610177,0.15374928090867723,0.4367892829643993,-0.29551798245938943,0.1864900801966843,0.08083650755954401,0.10709619509359042,0.24464022271564545,-0.381218388501615,-0.4513920404608934,-0.08449589962313622,0.1532285407613997
33,-0.20477347209568914,-0.20682467507639157,0.004784879155948836,0.20850945796037387,0.3798733953625047,0.09959471220673158,0.3387872193056993,-0.3508816768013931,0.1069939409820372,-0.01213202810032929,0.0924420705121551,0.2986979551327522,-0.44738808578970285,-0.4777463820199558,-0.007850847939085649,0.05279270303482594
34,-0.2862724848441709,-0.27043571331122085,0.0015047382288937313,0.08875938957648982,0.25121686449881675,0.06087815472151588,0.22239190170035342,-0.3788991806372067,0.03633163911375658,-0.09789485562893986,0.0768505753943764,0.3225661040664071,-0.47387334492217,-0.47840146362552316,0.06349785398336687,-0.040854894869647426
35,-0.34269451087419184,-0.31284479634826606,0.0015396573821619595,-0.00990886231572294,0.12233285604024285,0.04589698821584959,0.11357983381765084,-0.3891163562424804,-0.02293509949922518,-0.16233999705569763,0.061590961919180336,0.3213020627405986,-0.4669975183094413,-0.4534030337848911,0.1235440461798465,-0.11314488037463324
36,-0.38361227392087416,-0.34368685454873144,0.0038701755015802157,-0.07049767864430205,0.017079645768617785,0.054877730512209594,0.031657775509478646,-0.3879350410825672,-0.07030199378522081,-0.19649395127874744,0.045569103269187346,0.3006680032605762,-0.43453486707294137,-0.4014428657887103,0.16918704259567646,-0.15490539654825464
37,-0.41620765681183913,-0.37014590850177814,0.005709806093515418,-0.09533568756561576,-0.05923058643645197,0.0818529480206139,-0.021030978585159867,-0.3768338893774135,-0.10721090384656853,-0.19886441718706988,0.02710492995252353,0.26382963440372836,-0.381468640792069,-0.32056344089956673,0.19747287408429315,-0.16573245727092725
38,-0.4432409397244223,-0.39538815836107727,0.0037460735446317303,-0.09676662547604228,-0.11270169476233745,0.11627918294983593,-0.05286452526446929,-0.35227968008009564,-0.1351897572038654,-0.17216930052406326,0.006010349807937239,0.21129440713067107,-0.3095177440819067,-0.21172146958344523,0.205809686004499,-0.14901113421323167
39,-0.4623414326410583,-0.41795782612093885,-0.0051851174504845,-0.08920049837451806,-0.15213459110308658,0.14404949069053602,-0.07555010131882688,-0.3068339522504916,-0.15495236197009143,-0.1230742690887312,-0.017270047937801857,0.14284596451699855,-0.2188064776013126,-0.08003121609362301,0.19773254453730196,-0.11118643091071259
40,-0.4661955477022133,-0.43071477479518894,-0.021834364014619263,-0.08629216348681289,-0.18537087332166477,0.15104809579148482,-0.10003547296135125,-0.23185002201856983,-0.16640154362733467,-0.05993710028738322,-0.0414977169563358,0.05736169786308106,-0.10892411921871964,0.06575048214804415,0.17646233867687627,-0.0613930367527092
41,-0.443973791019307,-0.4215046379652156,-0.04534075500371461,-0.09797445521330662,-0.21931293298777177,0.12799265686571584,-0.13492331431975904,-0.12083663748302655,-0.16842940001779053,0.006145210730892181,-0.06632874563622548,-0.04446197368489057,0.019195113377780387,0.21362840723721843,0.14333392794380895,-0.009664204375982121
42,-0.3840723744244239,-0.3758349565612812,-0.07239731255553947,-0.12819632943185746,-0.2575006725227218,0.07287887745100638,-0.18373005265059014,0.026446589523723783,-0.15981828352617236,0.06515265406988233,-0.09016757801309748,-0.1591358498746973,0.16164185519618776,0.34880421720809907,0.10158555834128306,0.03513379973417345
43,-0.2780703287110138,-0.28136595408145054,-0.09869263467148184,-0.17365757033022974,-0.29977496220036476,-0.006687708966780432,-0.24383242756419493,0.20185795614695967,-0.1377637696476321,0.11033672411917045,-0.11045933583321553,-0.2805427137969526,0.3109152923358798,0.4584895739885409,0.05361634663804299,0.06823711689816313
44,-0.12528232153285468,-0.13432742229113817,-0.11955149967991031,-0.22501593173325996,-0.34209509232882457,-0.09462966065918582,-0.3067156013970749,0.38898096578210334,-0.09913838988178723,0.13970985059361982,-0.12434907222367118,-0.3996344067427237,0.45569656807569175,0.5319028740279005,4.398547482711776e-05,0.08965716705759
45,0.06462846878642443,0.056132949897265846,-0.13008462889033853,-0.2690716735880557,-0.37710906417650697,-0.17084882995649672,-0.3598791977808312,0.5653815292773304,-0.04281880948252981,0.15440484298411689,-0.1303386217567968,-0.5049457151964812,0.5822330471027733,0.56266893636939,-0.05710698460706953,0.1026479843928986
46,0.2716110839508275,0.26739693830297273,-0.1280180127082841,-0.29120237039864594,-0.39410900841572377,-0.21748376515679316,-0.38884539138100555,0.7067393487777979,0.030213442438061837,0.15959718454995167,-0.1256644194057742,-0.5840996143585655,0.6760195399315038,0.5483228788560207,-0.11647201978955599,0.11359195800276452
47,0.46823308979733363,0.4676716829236402,-0.11368906891322465,-0.2763189664383613,-0.3791601154218879,-0.22153513131751856,-0.378131134820742,0.7907099128588636,0.11562686661658166,0.16353498415984108,-0.10868890126842937,-0.6253850930550211,0.7234917059574658,0.4913234842150109,-0.17578809777549229,0.1306607625158296
48,0.6250855347876352,0.6240378597622555,-0.08961730159141572,-0.21344107249830876,-0.318720823831203,-0.17850739815023015,-0.3153355053319837,0.801167431101213,0.20420032915491348,0.17549492244844977,-0.07834210617680872,-0.6206713485717311,0.7148641933379252,0.39900036325498667,-0.23169044475871345,0.160899319254404
49,0.7173124273958642,0.7107590414904389,-0.060009424547840466,-0.10430830201971276,-0.20814341717830914,-0.09729439108889426,-0.1996285042791333,0.7355361157302311,0.2841036589543964,0.19797245026170174,-0.03970094310155216,-0.5686626335882354,0.6477989649410552,0.2819370018164375,-0.27592405324115615,0.2044589218450219
50,0.730880418670295,0.7147444262677455,-0.029977983308102,0.03715298942708395,-0.05432661736631982,0.002994625624923335,-0.0428272432563549,0.6044491297365249,0.3446817978612107,0.22701289774433356,0.003946097536395905,-0.4739602859567666,0.5280143807402666,0.1514848007118486,-0.301726594532279,0.2541874802780483
51,0.6671288614198801,0.6393713956404431,-0.004305924675753629,0.18557259681401442,0.1212629693478675,0.09941223016972399,0.13026419107134712,0.4303620462762979,0.37840160663454053,0.25191216890818535,0.04548266506308892,-0.3474264665460017,0.3687720192476672,0.01786205328118379,-0.30517826184795066,0.29703811031174876
52,0.5410035210563017,0.5026516634319923,0.013912994202206208,0.31224324433096334,0.2888536830837565,0.17341786923025967,0.28957500898186284,0.23897734962077155,0.38115340003405146,0.26065707302226976,0.07936134129655861,-0.20350812649574385,0.18794990566681608,-0.11032963278758841,-0.2868726467069478,0.31973284803737617
53,0.3763285752830127,0.3319493937855198,0.02354401091169337,0.3928729552244676,0.419306706358757,0.21278927133154854,0.40762127169598666,0.05427605108190787,0.3539902102882723,0.24456962260631468,0.10225183483702063,-0.05801141866710153,0.005200070923174681,-0.225725125103898,-0.24933692091532456,0.3126758330926692
54,0.19872797541043366,0.15569933176490364,0.024830612094592124,0.414133090907981,0.49244793237417006,0.21356721305295642,0.46683950429055826,-0.1050463844938754,0.3013169529630976,0.20081750454966102,0.11289138657896619,0.07481186164606707,-0.1615932729254954,-0.3222091854313612,-0.19438629854491118,0.27262178967609413
55,0.03115978492694091,-0.0022404816399728897,0.020370621874187266,0.3752658981839987,0.49950761009791966,0.18097687555288403,0.4618664360844542,-0.22789080692762073,0.230538234807467,0.1312683807246438,0.11220960562985872,0.18421728536350357,-0.29859147446420653,-0.3958078751186658,-0.12854283481782722,0.20189887327268413
56,-0.11041966395974921,-0.12775788563606238,0.01366596798561518,0.28878333905975007,0.4450156369914807,0.12964247075546348,0.40113727010272315,-0.3118563978792035,0.15219613264914397,0.045287394365866304,0.10355363541119089,0.2638260060076631,-0.3975225369122253,-0.44359314950243683,-0.05504236497873551,0.11119844235940733
57,-0.2195033344761333,-0.21806284662489353,0.007885602859295949,0.176573152442574,0.344082247547074,0.07907114743132818,0.30321342772049187,-0.36176430810469806,0.07564560759116354,-0.04527134909784007,0.09091980047851721,0.3122638803921488,-0.4561560258699461,-0.46500555601706123,0.01923721904636494,0.014385720444820817
58,-0.29772725446460796,-0.27914342291496974,0.004555602800680147,0.06260459631842702,0.2187521659338684,0.04444783452167823,0.19084469122979372,-0.3863286611503457,0.007637972829473581,-0.12619782748686503,0.07651237444296208,0.3317892748074768,-0.47683899387709366,-0.45991491395805034,0.08672344190008655,-0.07376952173045612
59,-0.3522256984794188,-0.3204408903971024,0.0043338129685167,-0.030134584019127747,0.0955049170944598,0.03161344097440702,0.08728911133343191,-0.39398317456738213,-0.04976905171320278,-0.18515674187273387,0.06090560968271378,0.32700410768879445,-0.46550506401493225,-0.42785173693319134,0.14216612606673357,-0.14025414424078983
60,-0.39176112288336384,-0.3508714034638976,0.0058489238987518895,-0.08653154018165907,-0.004027779296137371,0.04013440977512758,0.009836022187066815,-0.38985899648325884,-0.09622045162690411,-0.21360192198636097,0.04312463067417861,0.30302292288711224,-0.42928202060801834,-0.3683874200882367,0.1836496948149928,-0.17698207486270365
61,-0.4229011604684289,-0.3768352099503572,0.0061463536437844565,-0.10858732766924704,-0.07514521092884927,0.06499425058004936,-0.03935895870534657,-0.3749522170926541,-0.13240434744219726,-0.21067429365969131,0.022747937930742923,0.26269363314317995,-0.3725479344227969,-0.28138532634342833,0.2065746702815224,-0.1833773584962835
62,-0.44719999786030706,-0.400315303337999,0.0021364649540979355,-0.10920168255572255,-0.12514911840270568,0.09561897334583276,-0.069641791105759,-0.3451746448851941,-0.15902989696744335,-0.1803838559310089,-0.0007136478868396907,0.2069029113628197,-0.2970784279438895,-0.16897927477400215,0.2112017038829482,-0.16380175481617554
63,-0.4618013923964656,-0.4190257911914205,-0.008501737258469068,-0.10336285185720792,-0.16305746513096284,0.11791579185715187,-0.09289512394484424,-0.2931746833032287,-0.17704896168772294,-0.1291947587498467,-0.026099309096672428,0.13519561718173345,-0.20302116831003028,-0.036067571504759324,0.19904624823774247,-0.12469535407937019
64,-0.4593630933256722,-0.425436373041953,-0.02642523652774842,-0.10316880296346585,-0.19601198329556696,0.11890660154979987,-0.11912306185643776,-0.21138578485339155,-0.18626547320575723,-0.0660106199741502,-0.05197234975523288,0.047334421859718485,-0.09086342999728517,0.10792587219132184,0.17337400778758633,-0.0751866319822385
65,-0.429633798441629,-0.4078290091883877,-0.04997915203594154,-0.11714484266620562,-0.22990971596482124,0.09185747566919986,-0.15528427364233727,-0.09535313904421405,-0.1853835505326058,-0.0006134131411679406,-0.0770578064312811,-0.0556619890356057,0.037854694657722746,0.25030337355846843,0.13678864804099522,-0.023982376820459946
66,-0.36200537082044504,-0.3529022742000052,-0.07619465887309898,-0.14742560174721175,-0.2675780479630859,0.036891337027622276,-0.2036196489474784,0.05355504298847469,-0.17226243795870239,0.05825565174861709,-0.10022511436046434,-0.17007020313879948,0.17894228584037922,0.37775573150614344,0.09240240885224202,0.021106718853583978
67,-0.2496362246500235,-0.2505187392291868,-0.10049006094986546,-0.19011986834989583,-0.307861162356822,-0.03815729396941731,-0.2606323518880054,0.22582413597495654,-0.14524816268633253,0.10396936001232375,-0.11924706291854911,-0.2889316102667996,0.32414042675265253,0.4775613805313921,0.042196732645592296,0.05528561114726713
68,-0.09362274972211578,-0.09928414916880746,-0.11839121188288901,-0.23643845806914568,-0.3465794052502746,-0.1183074718086424,-0.31805817120547786,0.4046761348736569,-0.10260763867724149,0.13413466655984294,-0.13146788094135142,-0.4027781311382505,0.46173947040639085,0.5409584747848046,-0.011412328118636333,0.07822699194481958
69,0.09465263742173892,0.08957679679681141,-0.12618334764438643,-0.2732814230278837,-0.3754985082938977,-0.18476056239783048,-0.3631214456615375,0.5681012780116264,-0.04378556350776268,0.15057592715276935,-0.13441208246081204,-0.5001007721300771,0.57821618112213,0.5623010609136725,-0.06773671991577083,0.09356259205571499
70,0.2943879320936457,0.29275130539414235,-0.1219560804342974,-0.2863952119656004,-0.38408439753151624,-0.22018915824951762,-0.381644678139761,0.6930425667846544,0.029318734050108593,0.15763874527391744,-0.12654286094178865,-0.5693404627542771,0.6601489628458099,0.540006933620054,-0.12566301479609351,0.10707092422395648
71,0.47951066316737884,0.4801182602989588,-0.10641001541104995,-0.2631010416291691,-0.3595897508970836,-0.21527977370468182,-0.36030094009405716,0.7603201597376862,0.1115011272990792,0.16278312283661509,-0.10696228713114157,-0.6006443812583757,0.6957522781952403,0.4765600398335816,-0.18209977322447185,0.12584059599197264
72,0.6227756720294857,0.6212881930466552,-0.08223653532218675,-0.19498057369067687,-0.2913006682970973,-0.1675442498977807,-0.2896410089864187,0.7572853267749137,0.19452281254264808,0.17353183582240098,-0.07608732332761675,-0.5873949170909851,0.6770853745045183,0.37939606202440396,-0.23305770917070878,0.1552721428669669
